    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:01 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-kblockd]
      7 ?        I      0:01 [kworker/0:1-events]
      9 ?        I<     0:00 [mm_percpu_wq]
     10 ?        S      0:00 [ksoftirqd/0]
     11 ?        I      0:00 [rcu_sched]
     12 ?        S      0:00 [migration/0]
     13 ?        S      0:00 [idle_inject/0]
     14 ?        S      0:00 [cpuhp/0]
     15 ?        S      0:00 [cpuhp/1]
     16 ?        S      0:00 [idle_inject/1]
     17 ?        S      0:00 [migration/1]
     18 ?        S      0:00 [ksoftirqd/1]
     20 ?        I<     0:00 [kworker/1:0H-kblockd]
     21 ?        S      0:00 [cpuhp/2]
     22 ?        S      0:00 [idle_inject/2]
     23 ?        S      0:00 [migration/2]
     24 ?        S      0:00 [ksoftirqd/2]
     26 ?        I<     0:00 [kworker/2:0H-kblockd]
     27 ?        S      0:00 [cpuhp/3]
     28 ?        S      0:00 [idle_inject/3]
     29 ?        S      0:00 [migration/3]
     30 ?        S      0:00 [ksoftirqd/3]
     32 ?        I<     0:00 [kworker/3:0H-kblockd]
     33 ?        S      0:00 [kdevtmpfs]
     34 ?        I<     0:00 [netns]
     35 ?        S      0:00 [rcu_tasks_kthre]
     36 ?        S      0:00 [kauditd]
     38 ?        S      0:00 [khungtaskd]
     39 ?        S      0:00 [oom_reaper]
     40 ?        I<     0:00 [writeback]
     41 ?        S      0:00 [kcompactd0]
     42 ?        SN     0:00 [ksmd]
     43 ?        SN     0:00 [khugepaged]
     89 ?        I<     0:00 [kintegrityd]
     90 ?        I<     0:00 [kblockd]
     91 ?        I<     0:00 [blkcg_punt_bio]
     92 ?        I<     0:00 [tpm_dev_wq]
     93 ?        I<     0:00 [ata_sff]
     94 ?        I<     0:00 [md]
     95 ?        I<     0:00 [edac-poller]
     96 ?        I<     0:00 [devfreq_wq]
     97 ?        S      0:00 [watchdogd]
    101 ?        S      0:00 [kswapd0]
    102 ?        S      0:00 [ecryptfs-kthrea]
    104 ?        I<     0:00 [kthrotld]
    105 ?        I<     0:00 [acpi_thermal_pm]
    106 ?        S      0:00 [scsi_eh_0]
    107 ?        I<     0:00 [scsi_tmf_0]
    108 ?        S      0:00 [scsi_eh_1]
    109 ?        I<     0:00 [scsi_tmf_1]
    111 ?        I<     0:00 [vfio-irqfd-clea]
    113 ?        I<     0:00 [ipv6_addrconf]
    122 ?        I<     0:00 [kstrp]
    125 ?        I<     0:00 [kworker/u9:0]
    139 ?        I<     0:00 [charger_manager]
    189 ?        I<     0:00 [cryptd]
    191 ?        S      0:00 [scsi_eh_2]
    192 ?        I<     0:00 [scsi_tmf_2]
    213 ?        S      0:00 [irq/18-vmwgfx]
    214 ?        I<     0:00 [ttm_swap]
    215 ?        I<     0:00 [kworker/1:1H-kblockd]
    271 ?        I<     0:00 [kworker/0:1H-kblockd]
    272 ?        S      0:00 [jbd2/sda5-8]
    273 ?        I<     0:00 [ext4-rsv-conver]
    289 ?        I<     0:00 [kworker/3:1H-kblockd]
    301 ?        I<     0:00 [kworker/2:1H-kblockd]
    321 ?        S<s    0:00 /lib/systemd/systemd-journald
    350 ?        Ss     0:00 /lib/systemd/systemd-udevd
    388 ?        I<     0:00 [iprt-VBoxWQueue]
    513 ?        Ss     0:00 /lib/systemd/systemd-resolved
    525 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
    526 ?        Ss     0:00 /usr/sbin/acpid
    528 ?        Ss     0:00 avahi-daemon: running [Michael-VirtualBox.local]
    529 ?        Ss     0:00 /usr/sbin/cron -f
    530 ?        Ss     0:00 /usr/sbin/cupsd -l
    531 ?        Ss     0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    532 ?        Ssl    0:03 /usr/sbin/NetworkManager --no-daemon
    539 ?        Ssl    0:00 /usr/sbin/irqbalance --foreground
